Year,Agriculture,Chemicals,Energy,Entertainment,Finance,Health,Logistics,Metals,Other,Real estate,Technology,Tourism,Transport,Utilities
2005,0.0,1.7786561264822136,65.61264822134387,0.0,0.0,0.0,0.0,12.944664031620553,1.4822134387351777,0.0,17.193675889328063,0.0,0.9881422924901186,0.0
2006,1.6145307769929365,0.6054490413723511,56.5422132526068,0.0,0.3363605785401951,0.0,0.0,26.168853010427178,0.9081735620585267,4.372687521022536,5.852674066599395,0.0,3.5990581903800876,0.0
2007,0.7977397374106697,1.4625228519195612,33.255775303307296,0.0,32.50789429948479,0.0,0.24929366794083432,22.785441249792253,0.6481635366461692,2.4098387900947316,3.656307129798903,0.0,2.2270234336047863,0.0
2008,0.7133536320139191,0.7655502392344498,30.917790343627665,0.0,21.061331013484125,0.313179643323184,0.13049151805132667,31.761635493692907,0.33927794693344937,1.6006959547629405,1.9138755980861244,1.3484123531970422,6.489778164419313,2.644628099173554
2009,0.6896551724137931,0.5099971022891916,41.26919733410605,0.0,15.827296435815704,0.20863517820921473,0.08693132425383947,27.128368588814837,0.7476093885830194,3.732251521298174,2.1443059982613732,1.0431758910460736,4.850767893364242,1.7618081715444798
2010,1.159529490560509,0.49395119092469336,47.05094394909791,0.0418602704173469,12.700406044623048,0.26371970362928543,0.1674410816693876,23.32454267654569,1.1930177068943864,4.093934446816527,1.6744108166938758,0.7534848675122442,5.81020553392775,1.2725522206873456
2011,1.4156431803490628,1.6774402068519716,48.50032320620556,0.16160310277957335,10.542986425339366,0.20361990950226247,0.885585003232062,21.56431803490627,1.2346477052359406,4.3632837750484805,1.8681318681318682,0.5817711700064642,6.018099547511312,0.982546864899806
2012,2.1012095523622456,1.3413625555670423,49.222061408043004,0.9485164891967333,9.180192287811433,0.42644474309934866,0.9511010027912747,20.518453427065026,1.431820531375995,4.807195285847204,2.046934766876874,0.49881112374651093,5.450739170888038,1.075157655329267
2013,3.838842082523223,1.2205659969755887,48.868006048822636,0.8684381075826312,7.893713545042126,0.5681572693886369,0.8965219269820696,18.485634046230288,1.4452365521710953,6.880535752862389,1.7779217973644414,1.1795204147764096,5.156621300496868,0.9202851587815943
2014,4.509970903413526,1.0024128876587892,45.326804343197786,1.087573628557235,7.5420481158186075,0.5712866368604074,0.9793485203321269,17.75246611312185,1.5399900645802287,8.40075225321127,2.895465190547158,2.1414377971755023,5.35270740188773,0.897736143637783
2015,3.91928713454599,0.8321673171809412,42.253479637675824,1.4537152956771486,8.329037484350836,0.8292215921643715,1.6127844465719126,15.522497974814051,1.4964283084174093,9.267250902128286,3.683629133220414,2.3668900508137565,7.580823330142131,0.8527873922969291
2016,3.8557683237430433,0.8607678520894255,38.22280916894633,3.761437600226394,7.031176304122252,0.9963682671446089,1.6519667955853221,12.96929534949533,2.668380341477219,9.407131402697859,5.737666257900198,4.532591264975002,7.394349589661353,0.9102914819356664
2017,7.6790758134034425,0.7261745360008601,33.73241983248141,3.758906144628947,7.452329524907884,1.3956624998778306,3.703196927196849,11.16139058025548,2.808917384207903,9.322986404996238,5.106678264609009,4.2260816873051406,8.160911676456504,0.765268723672508
2018,7.142606775442963,0.7457193431360521,32.26572495136613,3.7829264445573876,7.1031739077095635,1.7797367637007309,3.361432902784837,11.34615047582327,3.7364832892269404,8.811055223540546,5.335705147303668,3.838132459384146,9.925690951471285,0.8254613645524809
2019,6.748391893202315,0.7095064162653134,32.175065455603324,4.29178653392378,6.7411190483886605,1.8755858680544333,3.1976274364030126,11.410285418754244,3.928144293241103,8.508420338106475,5.3560461583217505,3.698645634676924,10.598151081229595,0.7612244238290721
2020,6.5658494757765915,0.6984448688467085,32.22980083408037,4.456483610710527,6.611840823167167,1.9129282457029269,3.2396616907666522,11.327123202245001,3.958373933039716,8.564524301360253,5.370853957984176,3.5818684959270373,10.747944030868767,0.7343025295241065
2021,6.340883250553528,0.7091137574053019,32.06046915205553,4.411764705882353,6.4134402489378255,2.131081323679014,3.2695529890491293,11.406408952187181,4.4267249117347856,8.290198073125486,5.305637005565197,3.437107294596373,11.085512536652505,0.7121057985757884
2022,6.149724876918621,0.6863596872284969,32.187228496959165,4.310020272227049,6.4364320880393855,2.2227048942948158,3.1747755574862437,11.686214885606718,4.61989574283232,8.164639443961773,5.26426295974515,3.326817260353316,11.081668114682884,0.6892557196640603
2023,5.962235942301835,0.7641407569423295,31.67861790193527,4.225615327113154,6.1906475816052495,2.1982889891746726,3.1479276834906837,12.233173675904649,4.805642459647276,7.923807414380243,5.329604917079654,3.188764915972203,11.669758298956227,0.6817741354965531
2024,5.787244792809323,0.9546793248103604,31.23383660091612,4.206306468018908,5.959432776880273,2.118111649614073,3.0608242419407383,12.629556499597786,4.77206698710917,7.90469162395208,5.294614305563865,3.0628186973546874,12.351662378587527,0.6641536528450906
2025,5.607631265789759,1.0060899944636414,30.908153719860255,4.174541659507582,5.704358450583227,2.041452689588464,2.968633664878486,12.904170087118102,4.9833591060371765,7.664356668766664,5.374722386616012,3.0634517604983995,12.943624596704911,0.6554539495873185
