Year,Afghanistan,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Bolivia,Bosnia,Botswana,Brazil,Britain,Brunei,Bulgaria,Cambodia,Cameroon,Canada,Chad,Chile,Colombia,Congo,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Guinea-Bissau,Guyana,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Liberia,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Samoa,Sao Tome,Saudi Arabia,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad-Tobago,Tunisia,Turkey,Turkmenistan,UAE,USA,Uganda,Ukraine,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2015,0.0,0.0,0.0,0.0,300.0,10990.0,0.0,0.0,250.0,750.0,300.0,290.0,0.0,0.0,0.0,3220.0,3830.0,0.0,0.0,0.0,200.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,980.0,0.0,0.0,530.0,190.0,0.0,0.0,0.0,2990.0,0.0,0.0,1690.0,590.0,0.0,0.0,0.0,0.0,0.0,1630.0,3190.0,0.0,0.0,5170.0,100.0,10580.0,0.0,0.0,1340.0,350.0,600.0,120.0,0.0,150.0,100.0,0.0,130.0,0.0,0.0,6670.0,0.0,0.0,0.0,0.0,400.0,2450.0,0.0,0.0,0.0,0.0,270.0,250.0,3470.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,0.0,300.0,0.0,0.0,340.0,590.0,0.0,4110.0,120.0,0.0,120.0,0.0,0.0,540.0,4470.0,0.0,0.0,0.0,490.0,1440.0,850.0,0.0,0.0,0.0,2590.0,4360.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,1300.0,0.0,0.0,19030.0,0.0,0.0,0.0,0.0,3260.0,0.0,500.0,0.0
2016,0.0,0.0,0.0,0.0,290.0,6840.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,13410.0,11300.0,0.0,0.0,480.0,0.0,2750.0,110.0,350.0,0.0,0.0,0.0,0.0,0.0,310.0,3210.0,0.0,0.0,0.0,0.0,0.0,350.0,8890.0,2700.0,0.0,0.0,12580.0,0.0,870.0,0.0,0.0,0.0,0.0,1210.0,2420.0,600.0,0.0,1630.0,5950.0,700.0,0.0,300.0,1170.0,950.0,180.0,100.0,0.0,0.0,2030.0,0.0,0.0,0.0,100.0,2520.0,0.0,0.0,0.0,0.0,1410.0,100.0,0.0,0.0,0.0,2100.0,0.0,0.0,4890.0,180.0,0.0,0.0,0.0,0.0,720.0,0.0,3070.0,310.0,0.0,0.0,0.0,140.0,180.0,0.0,2370.0,0.0,0.0,0.0,0.0,120.0,0.0,3040.0,0.0,0.0,0.0,520.0,680.0,2040.0,0.0,0.0,0.0,480.0,2410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,1490.0,55570.0,0.0,180.0,0.0,1460.0,170.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,960.0,5040.0,230.0,0.0,0.0,110.0,0.0,360.0,0.0,0.0,0.0,8570.0,29480.0,0.0,0.0,250.0,0.0,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,7230.0,0.0,2200.0,0.0,170.0,0.0,210.0,2550.0,2400.0,0.0,0.0,0.0,170.0,890.0,0.0,0.0,4660.0,0.0,110.0,510.0,0.0,0.0,1010.0,250.0,1760.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,110.0,0.0,100.0,0.0,0.0,0.0,0.0,210.0,390.0,280.0,0.0,0.0,0.0,0.0,0.0,1040.0,2320.0,0.0,0.0,720.0,190.0,210.0,670.0,0.0,600.0,0.0,110.0,0.0,0.0,0.0,0.0,14240.0,0.0,1050.0,0.0,0.0,2400.0,390.0,0.0,0.0,0.0,1390.0,45370.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,2960.0,23400.0,0.0,0.0,450.0,0.0,100.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,210.0,5740.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,2280.0,9020.0,0.0,0.0,500.0,0.0,5400.0,0.0,6440.0,230.0,220.0,220.0,0.0,0.0,350.0,150.0,0.0,0.0,920.0,180.0,0.0,360.0,610.0,4870.0,0.0,0.0,12650.0,0.0,0.0,590.0,0.0,1130.0,0.0,3790.0,4990.0,0.0,220.0,390.0,100.0,910.0,0.0,0.0,1170.0,500.0,160.0,0.0,650.0,0.0,6600.0,0.0,470.0,0.0,0.0,1420.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,140.0,2430.0,170.0,0.0,0.0,750.0,0.0,630.0,0.0,1310.0,0.0,0.0,2800.0,400.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,950.0,0.0,3220.0,0.0,340.0,0.0,300.0,600.0,1260.0,1120.0,0.0,0.0,6170.0,190.0,0.0,240.0,0.0,0.0,850.0,0.0,0.0,0.0,730.0,0.0,2330.0,8920.0,1820.0,0.0,0.0,610.0,750.0,0.0,900.0,1100.0
2019,0.0,0.0,0.0,0.0,870.0,3550.0,0.0,270.0,0.0,970.0,0.0,540.0,0.0,0.0,0.0,2030.0,11520.0,0.0,0.0,2340.0,0.0,1860.0,0.0,2330.0,1440.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,320.0,5420.0,4450.0,0.0,0.0,6510.0,0.0,370.0,830.0,0.0,1500.0,110.0,5090.0,5960.0,0.0,2050.0,240.0,260.0,1250.0,0.0,0.0,110.0,0.0,1020.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,190.0,0.0,0.0,110.0,150.0,590.0,400.0,0.0,0.0,740.0,0.0,0.0,970.0,120.0,0.0,0.0,3820.0,1160.0,100.0,0.0,0.0,4480.0,0.0,0.0,0.0,960.0,1600.0,1040.0,2250.0,0.0,0.0,200.0,0.0,0.0,280.0,0.0,0.0,0.0,1820.0,160.0,0.0,840.0,0.0,1140.0,430.0,0.0,0.0,0.0,1320.0,0.0,610.0,3640.0,0.0,0.0,300.0,0.0,750.0,0.0,160.0,0.0
2020,0.0,0.0,0.0,0.0,180.0,2890.0,0.0,0.0,0.0,1160.0,0.0,120.0,0.0,110.0,0.0,260.0,1770.0,0.0,0.0,1860.0,0.0,150.0,0.0,3030.0,140.0,0.0,0.0,0.0,0.0,0.0,790.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,420.0,430.0,0.0,0.0,0.0,2520.0,0.0,100.0,2470.0,0.0,180.0,0.0,110.0,580.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,1190.0,100.0,0.0,890.0,0.0,0.0,0.0,540.0,0.0,290.0,0.0,1340.0,0.0,0.0,780.0,0.0,0.0,460.0,0.0,540.0,0.0,0.0,0.0,0.0,360.0,0.0,1360.0,0.0,0.0,0.0,0.0,940.0,610.0,1730.0,0.0,0.0,380.0,310.0,0.0,0.0,0.0,0.0,940.0,0.0,0.0,0.0,170.0,0.0,180.0,1920.0,0.0,0.0,0.0,0.0,1440.0,0.0,140.0,0.0
2021,0.0,0.0,0.0,0.0,1250.0,140.0,0.0,0.0,0.0,480.0,0.0,440.0,0.0,150.0,0.0,5680.0,2570.0,0.0,0.0,220.0,0.0,300.0,0.0,1100.0,4040.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,0.0,200.0,690.0,120.0,300.0,1060.0,190.0,0.0,0.0,2560.0,1220.0,110.0,2210.0,0.0,0.0,480.0,0.0,3020.0,0.0,0.0,540.0,2000.0,0.0,0.0,0.0,1570.0,160.0,440.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,4380.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,1360.0,410.0,0.0,340.0,130.0,0.0,0.0,700.0,0.0,940.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,350.0,0.0,0.0,4400.0,0.0,0.0,610.0,0.0,1460.0,0.0,150.0,550.0
2022,0.0,430.0,0.0,0.0,1340.0,1260.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,2570.0,1410.0,0.0,0.0,1020.0,680.0,320.0,0.0,970.0,100.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,170.0,0.0,560.0,2000.0,0.0,0.0,1130.0,0.0,0.0,160.0,0.0,2430.0,0.0,260.0,4140.0,0.0,1030.0,150.0,0.0,0.0,0.0,0.0,140.0,0.0,120.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0,200.0,0.0,0.0,140.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5550.0,0.0,0.0,2590.0,0.0,0.0,0.0,0.0,200.0,220.0,0.0,0.0,360.0,210.0,590.0,0.0,0.0,480.0,220.0,750.0,0.0,0.0,0.0,0.0,0.0,140.0,2590.0,0.0,0.0,130.0,0.0,560.0,0.0,0.0,1670.0
2023,150.0,0.0,120.0,0.0,450.0,470.0,600.0,0.0,0.0,100.0,0.0,320.0,400.0,0.0,2040.0,2760.0,1150.0,0.0,0.0,1480.0,0.0,130.0,0.0,1110.0,750.0,100.0,0.0,0.0,0.0,0.0,3860.0,0.0,0.0,0.0,260.0,780.0,370.0,590.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,4430.0,0.0,6230.0,0.0,100.0,0.0,0.0,140.0,310.0,0.0,120.0,0.0,120.0,0.0,0.0,0.0,1420.0,0.0,0.0,0.0,0.0,3150.0,0.0,260.0,0.0,0.0,650.0,0.0,0.0,300.0,100.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,190.0,0.0,0.0,0.0,4780.0,0.0,1520.0,0.0,950.0,0.0,0.0,0.0,0.0,1150.0,1100.0,520.0,2550.0,0.0,0.0,0.0,0.0,3130.0,1360.0,370.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,110.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,2680.0,300.0,0.0,670.0,0.0,2770.0,0.0,750.0,180.0
2024,0.0,0.0,250.0,0.0,220.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,1610.0,5240.0,150.0,320.0,490.0,0.0,210.0,0.0,0.0,100.0,0.0,0.0,0.0,1200.0,0.0,390.0,110.0,0.0,0.0,530.0,0.0,0.0,220.0,0.0,0.0,0.0,1810.0,900.0,200.0,3140.0,0.0,3180.0,4590.0,0.0,3180.0,0.0,0.0,0.0,700.0,0.0,480.0,0.0,1060.0,0.0,2410.0,0.0,0.0,660.0,620.0,0.0,0.0,0.0,0.0,2590.0,0.0,340.0,0.0,0.0,760.0,0.0,0.0,2110.0,0.0,0.0,280.0,0.0,200.0,110.0,0.0,0.0,840.0,0.0,0.0,960.0,0.0,0.0,0.0,510.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,310.0,0.0,1140.0,1730.0,0.0,0.0,140.0,620.0,960.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,2120.0,0.0,0.0,130.0,250.0,0.0,0.0,1630.0,0.0,0.0,1260.0,0.0,1940.0,0.0,1280.0,0.0
2025,0.0,530.0,0.0,0.0,380.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,810.0,8700.0,100.0,0.0,0.0,810.0,0.0,190.0,0.0,120.0,130.0,0.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,420.0,1930.0,0.0,630.0,1130.0,2060.0,0.0,0.0,2180.0,0.0,0.0,2620.0,0.0,3460.0,670.0,350.0,2980.0,0.0,1330.0,3330.0,0.0,1560.0,0.0,0.0,0.0,0.0,1810.0,800.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,570.0,0.0,0.0,240.0,610.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,1380.0,0.0,0.0,0.0,0.0,180.0,2040.0,0.0,0.0,350.0,1110.0,0.0,0.0,0.0,0.0,1370.0,1940.0,0.0,0.0,0.0,220.0,0.0,0.0,4080.0,0.0,0.0,1520.0,0.0,320.0,0.0,1390.0,360.0
